Item,,Name,Action Pool,Description,
Style Action,Lightning,Deadly Dance,2+ or 5+ or 8+,"Teleport 2 spaces. Deal 1 damage to an enemy within range.
5+: Teleport 2 spaces. Deal 2 damage to an enemy within range.
8+: Teleport 2 spaces. Deal 2 damage to an enemy within range.",
Style Action,Overwhelming,Power Strike,4+ or 8+,"Deal 2 damage to an enemy within range.
You gain 2 Power tokens.
8+: Deal 4 damage and gain 4 Power tokens instead.",
Style Action,Relentless,Rush Down,3+ or 5+ or 7+,"Deal 1 damage to an enemy within range.
Then, deal 1 damage to an enemy within range.
5+: Then, deal 1 damage to an enemy within range.
7+: Then, deal 1 damage to an enemy within range.",
Style Action,Weightless,Effortless,4+ or 7+,"Teleport to any space you can see.
7+: Choose an ally. They may teleport to any space they can see.",
Style Action,Crystal,Splinter,3+ or 6+,"Place a Copy of you into any space within range. Then, deal 1 damage to every enemy adjacent to that Copy.
6+: Place a Copy of you into any space within range. Then, deal 1 damage to every enemy adjacent to that Copy.",
Style Action,Crystal,Shatter,Free,"Shatter is a Token Action that costs nothing.
Destroy one of your Copies. Give one Weakness token to an enemy that was within range of that Copy.",
Style Action,Frozen,Exploit Weakness,3+,Choose one enemy within range. Give them one Weakness token and deal 2 damage to them.,
Style Action,Precision,Perfect Strike,3+ and 3+,"This Action costs two numbers to perform.
Deal 4 damage to an enemy within range. This damage cannot be reduced by Armor and ignores Shields. Tokens and Abilities cannot be used in response to Perfect Strike.",
Style Action,Pressure,Apply Pressure,5+,"Choose one enemy within range. Deal damage to them equal to the number of tokens they hold.
You can only use Apply Pressure once per turn.",
Style Action,Reflected,Walled In,3+,Place 3 Walls into empty spaces within Range 1-3.,
Style Action,Reflected,Icicle Fall,3+,Deal 1 damage to each enemy adjacent to any Walls.,
